key,type1,type2,attributes/2,attributes/3,attributes/4,attributes/5,attributes/6,attributes/7,attributes/8,attributes/9,attributes/10,attributes/11,attributes/12,attributes/13,attributes/14,attributes/15,attributes/16,attributes/17,attributes/18,attributes/19,attributes/20,attributes/21,attributes/22,attributes/23,attributes/label,attributes/size,attributes/color
592,Estonian Fund for Nature,Estonia,NGO-CSO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estonian Fund for Nature,18.501877,#d0e4a2
1067,Finnish Forest Research Institute ,Finland,Research centers,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finnish Forest Research Institute ,18.501877,#b7e0d5
1485,South-West University 'Neofit Rilski',Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,South-West University 'Neofit Rilski',18.501877,#aad7a7
1589,Universiteit Hasselt,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Universiteit Hasselt,18.501877,#d99ea0
347,Burgas Free University ,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Burgas Free University ,18.025963,#aad7a7
551,Enterprise Estonia,Estonia,NGO-CSO,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Enterprise Estonia,18.025963,#d0e4a2
862,Info-durable.be,Belgium,Portal or other independent Websites,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Info-durable.be,18.025963,#d99ea0
1546,Torino scienza,Italy,Portal or other independent Websites,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Torino scienza,18.025963,#cfe39e
52,Portail environnement de Wallonie,Belgium,Policy makers and governmental organizations,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Portail environnement de Wallonie,17.555143,#d99ea0
225,Royal Museum for Central Africa,Belgium,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Royal Museum for Central Africa,17.555143,#d99ea0
1089,Museum d'histoire naturelle,France,Science centres and museums,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Museum d'histoire naturelle,17.555143,#c02943
1516,Environmental Education Centre,Estonia,NGO-CSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Environmental Education Centre,17.555143,#d0e4a2
1671,VIB,Belgium,Research centers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,VIB,17.555143,#d99ea0
1559,Technical University - Gabrovo,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,Technical University - Gabrovo,17.08949,#aad7a7
1603,Université de Liège,Belgium,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Université de Liège,17.08949,#d99ea0
451,Ciencia Viva,Portugal,Science centres and museums,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Ciencia Viva,16.629078,#3c8686
668,"National portal on EU matters, quesitons",Hungary,Portal or other independent Websites,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"National portal on EU matters, quesitons",16.629078,#744557
1212,Oulu University of Applied Sciences,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Oulu University of Applied Sciences,16.629078,#b7e0d5
1581,University of Chemical Technology and Metallurgy - UCTM,Bulgaria,Universities and Secondary schools,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,University of Chemical Technology and Metallurgy - UCTM,16.629078,#aad7a7
630,Eesti Päevaleht,Estonia,Media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eesti Päevaleht,16.173979,#d0e4a2
1247,Palais de la découverte,France,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Palais de la découverte,16.173979,#c02943
1094,Ministry of Education and Science,Bulgaria,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Ministry of Education and Science,15.724276,#aad7a7
1243,OTKA – National Scientific Research Fund,Hungary,Policy makers and governmental organizations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OTKA – National Scientific Research Fund,15.724276,#744557
1563,Tampere University of Technology,Finland,Universities and secondary schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tampere University of Technology,15.724276,#b7e0d5
872,Innovatech,Belgium,Subnational and local actors,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Innovatech,15.280044,#d99ea0
947,Royal Library Albert I,Belgium,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Royal Library Albert I,15.280044,#d99ea0
1373,University of Rousse 'Angel Kanchev',Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,University of Rousse 'Angel Kanchev',15.280044,#aad7a7
203,Tartu Observatory (Tõravere),Estonia,Research centers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Tartu Observatory (Tõravere),14.841363,#d0e4a2
490,COST,International,International,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,COST,14.841363,#08486b
643,Espace des sciences - 35000 Rennes,France,Science centres and museums,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Espace des sciences - 35000 Rennes,14.841363,#c02943
1065,Royal Meteorological Institute,Belgium,Research centers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Royal Meteorological Institute,14.841363,#d99ea0
1169,New Bulgarian University,Bulgaria,Universities and Secondary schools,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,New Bulgarian University,14.841363,#aad7a7
1703,VTT Technical Research Center of Finland ,Finland,Research centers,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,VTT Technical Research Center of Finland ,14.841363,#b7e0d5
1727,Agrifood Research Finland ,Finland,Research centers,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agrifood Research Finland ,14.841363,#b7e0d5
164,Fondation sciences citoyennes,France,NGO-CSO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fondation sciences citoyennes,14.40833,#c02943
672,EXPLORA-La tv della scienza,Italy,Media,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORA-La tv della scienza,14.40833,#cfe39e
